,datadate,tic,prccd,prcod,prchd,prcld,cshtrd,
365,20190306,EURUSD,1.130655,1.13079,1.13247,1.12855,225834,
366,20190307,EURUSD,1.11937,1.130655,1.13203,1.11762,336747,
367,20190308,EURUSD,1.12344,1.11937,1.12462,1.11852,295019,
368,20190310,EURUSD,1.123375,1.12344,1.124435,1.12325,116,
369,20190311,EURUSD,1.124495,1.123375,1.125845,1.12217,235227,
370,20190312,EURUSD,1.12876,1.124495,1.13049,1.124435,313328,
371,20190313,EURUSD,1.132735,1.12876,1.133865,1.12774,236055,
372,20190314,EURUSD,1.130385,1.132735,1.133765,1.12941,260631,
373,20190315,EURUSD,1.132485,1.130385,1.13444,1.129875,218940,
374,20190317,EURUSD,1.132245,1.132485,1.132685,1.131885,62,
375,20190318,EURUSD,1.1337,1.132245,1.135905,1.131905,192808,
376,20190319,EURUSD,1.13518,1.1337,1.136165,1.133315,201860,
377,20190320,EURUSD,1.14134,1.13518,1.144825,1.13355,306110,
378,20190321,EURUSD,1.137365,1.14134,1.143745,1.134255,319898,
379,20190322,EURUSD,1.13009,1.137365,1.13907,1.12732,369345,
381,20190325,EURUSD,1.131205,1.12919,1.133155,1.128885,246409,
382,20190326,EURUSD,1.126575,1.131205,1.1326,1.12633,266589,
383,20190327,EURUSD,1.124405,1.126575,1.128565,1.124215,335193,
384,20190328,EURUSD,1.122085,1.124405,1.12613,1.12136,302419,
385,20190329,EURUSD,1.12178,1.122085,1.12467,1.120975,298193,
386,20190331,EURUSD,1.123115,1.12178,1.12404,1.12178,994,
387,20190401,EURUSD,1.121285,1.123115,1.125,1.120405,264522,
388,20190402,EURUSD,1.12044,1.121285,1.121605,1.118365,238064,
389,20190403,EURUSD,1.123225,1.12044,1.12547,1.120055,232216,
390,20190404,EURUSD,1.122035,1.123225,1.124765,1.1206,203795,
391,20190405,EURUSD,1.12153,1.122035,1.124745,1.121005,190766,
393,20190408,EURUSD,1.12633,1.121895,1.12746,1.121205,166305,
394,20190409,EURUSD,1.12623,1.12633,1.12843,1.125515,192318,
395,20190410,EURUSD,1.127375,1.12623,1.128805,1.122955,219150,
396,20190411,EURUSD,1.125295,1.127375,1.12875,1.124985,185630,
397,20190412,EURUSD,1.12991,1.125295,1.13239,1.125215,196979,
398,20190414,EURUSD,1.130485,1.12991,1.130615,1.129495,218,
399,20190415,EURUSD,1.130385,1.130485,1.132105,1.12976,169395,
400,20190416,EURUSD,1.128085,1.130385,1.131395,1.127955,234445,
401,20190417,EURUSD,1.12954,1.128085,1.132375,1.127885,197578,
402,20190418,EURUSD,1.1231,1.12954,1.13041,1.122615,250150,
403,20190419,EURUSD,1.124265,1.1231,1.124815,1.12282,77642,
405,20190422,EURUSD,1.125725,1.1248,1.126205,1.123585,73927,
406,20190423,EURUSD,1.12272,1.125725,1.12613,1.119225,185529,
407,20190424,EURUSD,1.11557,1.12272,1.122755,1.114055,261347,
408,20190425,EURUSD,1.11321,1.11557,1.11625,1.111805,224993,
409,20190426,EURUSD,1.11419,1.11321,1.117395,1.11101,252074,
410,20190428,EURUSD,1.114645,1.11419,1.1156,1.11419,218,
411,20190429,EURUSD,1.11856,1.114645,1.118715,1.1145,143355,
412,20190430,EURUSD,1.12153,1.11856,1.12292,1.11758,216643,
413,20190501,EURUSD,1.119595,1.12153,1.126485,1.11872,222756,
414,20190502,EURUSD,1.11717,1.119595,1.12191,1.11703,196982,
415,20190503,EURUSD,1.12019,1.11717,1.120475,1.11351,219730,
416,20190505,EURUSD,1.117895,1.12019,1.11851,1.115645,828,
417,20190506,EURUSD,1.11999,1.117895,1.12094,1.11716,175551,
418,20190507,EURUSD,1.119065,1.11999,1.12179,1.11666,208705,
419,20190508,EURUSD,1.119175,1.119065,1.12138,1.11828,249385,
420,20190509,EURUSD,1.12152,1.119175,1.1251,1.11735,278236,
421,20190510,EURUSD,1.123385,1.12152,1.12536,1.12141,228179,
423,20190513,EURUSD,1.12221,1.123455,1.12635,1.12217,198307,
424,20190514,EURUSD,1.120375,1.12221,1.124395,1.12012,169215,
425,20190515,EURUSD,1.120085,1.120375,1.122475,1.117795,206856,
